OCCRNC_YEAR,OCCRNC_MM,PATNT_CNT,OCCRNC_CNT,OCCRNC_AREA
2019,09,12,2,충남
2019,09,33,3,전북
2019,09,2,1,경북
2019,09,11,1,경남
2019,09,6,1,제주
2019,09,8,1,불명
2019,09,4,1,부산
2019,09,8,2,인천
2019,09,5,1,광주
2019,09,7,3,경기
2019,08,5,1,서울
2019,08,66,4,강원
2019,08,20,3,충북
2019,08,70,1,충남
2019,08,51,1,전남
2019,08,33,4,경남
2019,08,4,1,불명
2019,08,2,1,대구
2019,08,5,1,인천
2019,08,6,1,광주
2019,08,71,7,경기
2019,07,54,5,서울
2019,07,6,1,강원
2019,07,49,2,충북
2019,07,166,2,충남
2019,07,18,3,전북
2019,07,42,3,경북
2019,07,3,1,경남
2019,07,26,1,대구
2019,07,38,2,인천
2019,07,19,2,광주
2019,07,5,1,울산
2019,07,124,5,경기
2019,06,68,8,서울
2019,06,55,2,강원
2019,06,107,4,충북
2019,06,6,1,충남
2019,06,8,2,전북
2019,06,13,1,경북
2019,06,27,1,경남
2019,06,8,1,제주
2019,06,4,1,불명
2019,06,67,2,부산
2019,06,42,1,대구
2019,06,11,3,인천
2019,06,9,2,광주
2019,06,32,2,대전
2019,06,75,6,경기
2019,05,44,2,서울
2019,05,14,3,강원
2019,05,14,1,충북
2019,05,4,1,충남
2019,05,6,1,전북
2019,05,16,1,전남
2019,05,39,5,경북
2019,05,3,1,경남
2019,05,140,4,부산
2019,05,2,1,대구
2019,05,4,1,인천
2019,05,4,2,대전
2019,05,8,1,울산
2019,05,140,11,경기
2019,04,320,6,서울
2019,04,5,2,강원
2019,04,25,2,충북
2019,04,41,2,충남
2019,04,6,2,전북
2019,04,5,1,전남
2019,04,34,3,경북
2019,04,21,4,경남
2019,04,3,1,제주
2019,04,6,1,부산
2019,04,9,2,대구
2019,04,19,1,인천
2019,04,7,1,울산
2019,04,42,3,경기
2019,03,13,1,충북
2019,03,2,1,충남
2019,03,5,1,전남
2019,03,5,1,경북
2019,03,8,1,경남
2019,03,13,3,부산
2019,03,54,1,대구
2019,03,268,2,인천
2019,03,9,1,광주
2019,03,24,1,대전
2019,03,103,6,경기
2019,02,43,2,서울
2019,02,3,1,강원
2019,02,12,2,충남
2019,02,8,1,전남
2019,02,2,1,경북
2019,02,26,5,경남
2019,02,8,2,부산
2019,02,2,1,대구
2019,02,5,1,인천
2019,01,31,1,서울
2019,01,18,2,강원
2019,01,18,2,충북
2019,01,32,2,충남
2019,01,5,1,전북
2019,01,55,2,경북
2019,01,29,4,경남
2019,01,6,1,부산
2019,01,3,1,대구
2019,01,19,5,경기
2018,12,49,4,서울
2018,12,12,2,전남
2018,12,21,1,경북
2018,12,26,3,경남
2018,12,12,3,인천
2018,12,22,2,경기
2018,11,2,1,서울
2018,11,28,2,충북
2018,11,26,1,충남
2018,11,25,3,전북
2018,11,2,1,전남
2018,11,14,1,경북
2018,11,6,1,경남
2018,11,14,2,제주
2018,11,9,2,부산
2018,11,18,3,인천
2018,11,25,2,광주
2018,11,16,4,경기
2018,10,109,8,서울
2018,10,3,1,강원
2018,10,25,2,충북
2018,10,15,3,전북
2018,10,38,4,전남
2018,10,5,1,경북
2018,10,96,8,경남
2018,10,111,1,제주
2018,10,2,1,불명
2018,10,10,1,부산
2018,10,2,1,대구
2018,10,26,3,인천
2018,10,82,2,울산
2018,10,84,9,경기
2018,09,770,5,서울
2018,09,69,1,강원
2018,09,11,1,충북
2018,09,75,3,전북
2018,09,85,5,전남
2018,09,699,7,경북
2018,09,26,3,경남
2018,09,31,3,제주
2018,09,139,1,불명
2018,09,34,3,부산
2018,09,10,2,대구
2018,09,105,4,인천
2018,09,3185,18,경기
2018,08,172,4,서울
2018,08,114,4,강원
2018,08,7,1,충북
2018,08,207,2,충남
2018,08,5,2,전북
2018,08,77,5,전남
2018,08,70,4,경북
2018,08,224,2,부산
2018,08,32,3,인천
2018,08,12,1,광주
2018,08,616,8,경기
2018,07,68,5,서울
2018,07,75,1,강원
2018,07,7,2,충북
2018,07,17,3,전북
2018,07,15,4,전남
2018,07,11,3,경북
2018,07,43,1,경남
2018,07,193,3,부산
2018,07,69,2,대구
2018,07,67,4,인천
2018,07,4,1,대전
2018,07,61,6,경기
2018,06,54,2,서울
2018,06,5,1,강원
2018,06,81,4,충북
2018,06,18,1,충남
2018,06,15,2,전남
2018,06,161,4,경북
2018,06,31,2,경남
2018,06,68,1,부산
2018,06,157,2,대구
2018,06,43,3,인천
2018,06,2,1,울산
2018,06,97,5,경기
2018,05,291,5,서울
2018,05,32,2,강원
2018,05,19,2,충북
2018,05,17,2,전북
2018,05,44,3,전남
2018,05,19,1,경북
2018,05,35,2,경남
2018,05,4,1,제주
2018,05,11,1,불명
2018,05,26,2,부산
2018,05,5,2,인천
2018,05,5,1,울산
2018,05,179,2,세종
2018,05,166,5,경기
2018,04,55,5,서울
2018,04,11,1,충남
2018,04,18,1,전북
2018,04,19,1,경북
2018,04,115,2,경남
2018,04,39,2,제주
2018,04,6,1,불명
2018,04,52,3,부산
2018,04,3,1,대구
2018,04,2,1,인천
2018,04,4,1,광주
2018,04,7,1,울산
2018,04,113,5,경기
2018,03,466,10,서울
2018,03,4,1,강원
2018,03,6,1,충북
2018,03,36,3,전북
2018,03,9,2,전남
2018,03,73,5,경북
2018,03,84,5,경남
2018,03,18,1,부산
2018,03,3,1,인천
2018,03,2,1,광주
2018,03,6,1,울산
2018,03,109,6,경기
2018,02,95,3,서울
2018,02,6,1,강원
2018,02,15,1,전남
2018,02,23,1,경남
2018,02,3,1,부산
2018,02,4,2,대구
2018,02,6,1,인천
2018,02,5,1,세종
2018,02,37,4,경기
2018,01,11,2,서울
2018,01,6,2,충북
2018,01,10,1,전남
2018,01,2,1,경남
2018,01,33,1,제주
2018,01,3,1,불명
2018,01,15,4,인천
2018,01,45,5,경기
2017,12,4,1,서울
2017,12,20,1,강원
2017,12,5,1,전북
2017,12,2,1,경북
2017,12,9,3,경남
2017,12,5,1,부산
2017,12,6,1,대구
2017,12,10,2,인천
2017,12,3,1,대전
2017,12,5,1,울산
2017,12,54,3,경기
2017,11,42,5,서울
2017,11,30,1,충북
2017,11,9,1,전남
2017,11,12,2,경남
2017,11,25,2,부산
2017,11,31,1,인천
2017,11,30,5,경기
2017,10,5,1,서울
2017,10,5,1,충북
2017,10,53,1,전남
2017,10,26,1,경북
2017,10,22,1,경남
2017,10,7,2,제주
2017,10,42,2,부산
2017,10,87,4,인천
2017,10,85,3,경기
2017,09,220,5,서울
2017,09,6,2,강원
2017,09,34,1,충북
2017,09,3,2,전남
2017,09,6,1,경북
2017,09,40,2,경남
2017,09,2,1,제주
2017,09,77,1,불명
2017,09,206,3,부산
2017,09,10,2,인천
2017,09,89,1,대전
2017,09,11,2,울산
2017,09,3,1,세종
2017,09,38,7,경기
2017,08,327,7,서울
2017,08,46,4,강원
2017,08,25,1,충북
2017,08,15,2,충남
2017,08,19,4,전북
2017,08,27,2,전남
2017,08,108,2,경북
2017,08,36,4,경남
2017,08,237,3,제주
2017,08,79,1,불명
2017,08,5,1,부산
2017,08,23,2,대구
2017,08,6,1,인천
2017,08,3,1,광주
2017,08,14,1,대전
2017,08,13,1,세종
2017,08,572,9,경기
2017,07,119,9,서울
2017,07,11,3,강원
2017,07,21,2,충남
2017,07,73,3,전북
2017,07,40,4,전남
2017,07,59,3,경북
2017,07,6,1,경남
2017,07,3,1,제주
2017,07,9,1,부산
2017,07,7,3,대구
2017,07,18,6,인천
2017,07,25,1,광주
2017,07,4,2,대전
2017,07,6,1,울산
2017,07,28,6,경기
2017,06,16,3,서울
2017,06,22,5,강원
2017,06,3,1,충북
2017,06,24,2,충남
2017,06,8,2,전북
2017,06,10,3,전남
2017,06,3,1,경북
2017,06,20,3,경남
2017,06,21,3,제주
2017,06,26,6,대구
2017,06,46,6,인천
2017,06,717,9,경기
2017,05,10,1,서울
2017,05,30,3,강원
2017,05,114,2,충북
2017,05,25,2,충남
2017,05,131,1,전북
2017,05,5,2,전남
2017,05,57,6,경남
2017,05,14,4,제주
2017,05,75,2,불명
2017,05,2,1,대구
2017,05,4,1,인천
2017,05,32,1,울산
2017,05,106,14,경기
2017,04,2,1,서울
2017,04,109,5,강원
2017,04,6,1,충남
2017,04,10,2,전남
2017,04,65,3,경북
2017,04,8,2,경남
2017,04,4,1,제주
2017,04,32,2,부산
2017,04,2,1,인천
2017,04,90,1,대전
2017,04,6,1,울산
2017,04,75,6,경기
2017,03,7,2,서울
2017,03,4,1,강원
2017,03,12,3,충남
2017,03,51,2,경북
2017,03,3,1,경남
2017,03,6,1,부산
2017,03,7,2,대구
2017,03,3,1,인천
2017,03,53,3,경기
2017,02,5,1,서울
2017,02,3,1,강원
2017,02,7,2,충북
2017,02,11,2,충남
2017,02,14,2,전북
2017,02,8,2,경남
2017,02,6,1,제주
2017,02,3,1,부산
2017,02,5,1,대구
2017,02,3,1,인천
2017,02,6,2,세종
2017,02,18,2,경기
2017,01,6,2,서울
2017,01,2,1,충북
2017,01,12,3,충남
2017,01,6,1,전남
2017,01,6,1,경북
2017,01,3,1,부산
2017,01,13,2,대구
2017,01,6,2,인천
2017,01,67,7,경기
2016,12,59,5,서울
2016,12,5,1,충북
2016,12,22,3,충남
2016,12,5,1,전남
2016,12,10,2,경남
2016,12,12,2,제주
2016,12,62,4,대구
2016,12,10,2,인천
2016,12,5,1,광주
2016,12,207,11,경기
2016,11,71,3,서울
2016,11,57,4,충북
2016,11,11,3,충남
2016,11,21,2,전북
2016,11,17,2,전남
2016,11,9,2,경남
2016,11,11,1,불명
2016,11,147,6,대구
2016,11,11,2,인천
2016,11,10,1,광주
2016,11,81,11,경기
2016,10,27,1,서울
2016,10,356,3,강원
2016,10,5,1,충북
2016,10,28,6,충남
2016,10,43,1,전북
2016,10,20,5,전남
2016,10,7,1,경북
2016,10,62,3,경남
2016,10,87,5,제주
2016,10,11,2,대구
2016,10,36,5,인천
2016,10,8,1,세종
2016,10,41,7,경기
2016,09,6,1,서울
2016,09,61,3,충북
2016,09,22,2,충남
2016,09,7,2,전북
2016,09,3,1,전남
2016,09,8,2,경북
2016,09,10,2,경남
2016,09,17,6,제주
2016,09,4,1,대구
2016,09,16,2,인천
2016,09,27,1,광주
2016,09,31,3,대전
2016,09,24,1,울산
2016,09,189,12,경기
2016,08,975,8,서울
2016,08,12,3,강원
2016,08,65,5,충남
2016,08,4,1,전남
2016,08,149,4,경북
2016,08,198,2,경남
2016,08,35,11,제주
2016,08,341,4,부산
2016,08,126,3,대구
2016,08,194,8,인천
2016,08,3,1,대전
2016,08,38,1,울산
2016,08,248,11,경기
2016,07,142,3,서울
2016,07,40,6,강원
2016,07,17,2,충남
2016,07,2,1,전남
2016,07,16,1,경북
2016,07,5,2,제주
2016,07,22,2,울산
2016,07,36,5,경기
2016,06,23,3,강원
2016,06,4,1,충북
2016,06,9,1,충남
2016,06,187,1,전북
2016,06,10,2,전남
2016,06,165,4,경북
2016,06,66,7,제주
2016,06,4,1,대구
2016,06,46,3,인천
2016,06,33,2,광주
2016,06,73,2,대전
2016,06,141,9,경기
2016,05,10,3,서울
2016,05,23,4,강원
2016,05,44,3,충남
2016,05,153,1,전북
2016,05,25,4,전남
2016,05,20,3,경북
2016,05,16,3,경남
2016,05,118,3,제주
2016,05,12,1,부산
2016,05,8,1,대구
2016,05,65,5,인천
2016,05,6,1,광주
2016,05,2,1,대전
2016,05,171,10,경기
2016,04,50,4,서울
2016,04,20,3,강원
2016,04,14,2,충북
2016,04,35,2,충남
2016,04,24,4,전북
2016,04,43,5,전남
2016,04,93,5,경북
2016,04,5,1,경남
2016,04,96,2,불명
2016,04,14,1,부산
2016,04,5,1,대구
2016,04,155,9,경기
2016,03,109,3,서울
2016,03,2,1,강원
2016,03,57,4,충북
2016,03,16,3,충남
2016,03,17,3,경북
2016,03,11,1,경남
2016,03,10,1,제주
